end,month,start,value
24,20-22h,23,0
25,20-22h,24,0
26,20-22h,25,2
27,20-22h,26,0
28,20-22h,27,0
29,20-22h,28,1
30,20-22h,29,1
1,22-24h,0,0
2,22-24h,1,1
3,22-24h,2,0
4,22-24h,3,1
5,22-24h,4,1
6,22-24h,5,0
7,22-24h,6,0
8,22-24h,7,2
9,22-24h,8,0
10,22-24h,9,0
11,22-24h,10,1
12,22-24h,11,0
13,22-24h,12,1
14,22-24h,13,1
15,22-24h,14,0
16,22-24h,15,0
17,22-24h,16,2
18,22-24h,17,0
19,22-24h,18,0
20,22-24h,19,1
21,22-24h,20,1
22,22-24h,21,0
23,22-24h,22,1
24,22-24h,23,0
25,22-24h,24,1
26,22-24h,25,1
27,22-24h,26,0
28,22-24h,27,0
29,22-24h,28,1
30,22-24h,29,1
