end,month,start,value
20,6-8h,19,14
21,6-8h,20,2
22,6-8h,21,6
23,6-8h,22,14
24,6-8h,23,2
25,6-8h,24,4
26,6-8h,25,14
27,6-8h,26,2
28,6-8h,27,2
29,6-8h,28,16
30,6-8h,29,2
1,8-10h,0,2
2,8-10h,1,14
3,8-10h,2,6
4,8-10h,3,2
5,8-10h,4,14
6,8-10h,5,2
7,8-10h,6,6
8,8-10h,7,14
9,8-10h,8,2
10,8-10h,9,2
11,8-10h,10,16
12,8-10h,11,2
13,8-10h,12,2
14,8-10h,13,16
15,8-10h,14,2
16,8-10h,15,2
17,8-10h,16,14
18,8-10h,17,6
19,8-10h,18,2
20,8-10h,19,14
21,8-10h,20,2
22,8-10h,21,6
23,8-10h,22,14
24,8-10h,23,2
25,8-10h,24,2
26,8-10h,25,16
27,8-10h,26,2
28,8-10h,27,2
29,8-10h,28,14
30,8-10h,29,4
1,10-12h,0,2
2,10-12h,1,14
3,10-12h,2,4
4,10-12h,3,4
5,10-12h,4,14
6,10-12h,5,2
7,10-12h,6,6
8,10-12h,7,14
9,10-12h,8,2
10,10-12h,9,2
11,10-12h,10,16
12,10-12h,11,2
13,10-12h,12,2
14,10-12h,13,14
15,10-12h,14,4
16,10-12h,15,2
17,10-12h,16,14
18,10-12h,17,4
19,10-12h,18,4
20,10-12h,19,14
21,10-12h,20,2
22,10-12h,21,4
23,10-12h,22,16
24,10-12h,23,2
25,10-12h,24,2
26,10-12h,25,16
27,10-12h,26,2
28,10-12h,27,2
29,10-12h,28,14
30,10-12h,29,4
1,12-14h,0,2
2,12-14h,1,14
3,12-14h,2,4
4,12-14h,3,4
5,12-14h,4,14
6,12-14h,5,2
7,12-14h,6,4
8,12-14h,7,16
9,12-14h,8,2
10,12-14h,9,2
11,12-14h,10,14
12,12-14h,11,4
13,12-14h,12,2
14,12-14h,13,14
15,12-14h,14,4
16,12-14h,15,2
17,12-14h,16,14
18,12-14h,17,4
19,12-14h,18,4
20,12-14h,19,14
21,12-14h,20,2
22,12-14h,21,4
23,12-14h,22,16
24,12-14h,23,2
25,12-14h,24,2
26,12-14h,25,14
27,12-14h,26,4
28,12-14h,27,2
29,12-14h,28,14
30,12-14h,29,2
1,14-16h,0,4
2,14-16h,1,14
3,14-16h,2,4
4,14-16h,3,2
5,14-16h,4,16
6,14-16h,5,2
7,14-16h,6,4
8,14-16h,7,16
9,14-16h,8,2
10,14-16h,9,2
11,14-16h,10,14
12,14-16h,11,4
13,14-16h,12,2
14,14-16h,13,14
15,14-16h,14,2
16,14-16h,15,4
17,14-16h,16,14
18,14-16h,17,4
19,14-16h,18,2
20,14-16h,19,16
21,14-16h,20,2
22,14-16h,21,4
23,14-16h,22,14
24,14-16h,23,4
25,14-16h,24,2
26,14-16h,25,14
27,14-16h,26,4
28,14-16h,27,2
29,14-16h,28,14
30,14-16h,29,2
1,16-18h,0,4
2,16-18h,1,14
3,16-18h,2,4
4,16-18h,3,2
5,16-18h,4,16
6,16-18h,5,2
7,16-18h,6,4
8,16-18h,7,14
9,16-18h,8,4
10,16-18h,9,2
11,16-18h,10,14
12,16-18h,11,2
13,16-18h,12,4
14,16-18h,13,14
15,16-18h,14,2
16,16-18h,15,4
17,16-18h,16,14
18,16-18h,17,4
19,16-18h,18,2
20,16-18h,19,16
21,16-18h,20,2
22,16-18h,21,4
23,16-18h,22,14
24,16-18h,23,4
25,16-18h,24,2
26,16-18h,25,14
27,16-18h,26,2
28,16-18h,27,4
29,16-18h,28,14
30,16-18h,29,2
1,18-20h,0,2
2,18-20h,1,16
3,18-20h,2,4
4,18-20h,3,2
5,18-20h,4,14
6,18-20h,5,4
7,18-20h,6,4
8,18-20h,7,14
9,18-20h,8,4
10,18-20h,9,2
11,18-20h,10,14
12,18-20h,11,2
13,18-20h,12,4
14,18-20h,13,14
15,18-20h,14,2
16,18-20h,15,2
17,18-20h,16,16
18,18-20h,17,4
19,18-20h,18,2
20,18-20h,19,14
21,18-20h,20,4
22,18-20h,21,4
23,18-20h,22,14
24,18-20h,23,2
25,18-20h,24,4
26,18-20h,25,14
27,18-20h,26,2
28,18-20h,27,4
29,18-20h,28,14
30,18-20h,29,2
1,20-22h,0,2
2,20-22h,1,16
3,20-22h,2,4
4,20-22h,3,2
5,20-22h,4,14
6,20-22h,5,4
7,20-22h,6,4
8,20-22h,7,14
9,20-22h,8,2
10,20-22h,9,4
11,20-22h,10,14
12,20-22h,11,2
13,20-22h,12,2
14,20-22h,13,16
15,20-22h,14,2
16,20-22h,15,2
17,20-22h,16,16
18,20-22h,17,4
19,20-22h,18,2
20,20-22h,19,14
21,20-22h,20,4
22,20-22h,21,4
23,20-22h,22,14
24,20-22h,23,2
25,20-22h,24,4
26,20-22h,25,14
27,20-22h,26,2
28,20-22h,27,2
29,20-22h,28,16
30,20-22h,29,2
1,22-24h,0,2
2,22-24h,1,14
3,22-24h,2,6
4,22-24h,3,2
5,22-24h,4,14
6,22-24h,5,2
7,22-24h,6,6
8,22-24h,7,14
9,22-24h,8,2
10,22-24h,9,4
11,22-24h,10,14
12,22-24h,11,2
13,22-24h,12,2
14,22-24h,13,16
15,22-24h,14,2
16,22-24h,15,2
17,22-24h,16,14
18,22-24h,17,6
19,22-24h,18,2
20,22-24h,19,14
21,22-24h,20,2
22,22-24h,21,6
23,22-24h,22,14
24,22-24h,23,2
25,22-24h,24,2
26,22-24h,25,16
27,22-24h,26,2
28,22-24h,27,2
29,22-24h,28,16
30,22-24h,29,4
